path,component,auth_wrapper
/hr/time-verification,HrTimeVerification,H
/hr/time-off,HrTimeOff,H
/hr/payroll-variance,HrPayrollVariance,H
/hr/training-records,HrTrainingRecords,H
/hr/driver-qualification,HrDriverQualificationDashboard,H
/hr/driver-qualification/import,HrDriverQualificationImport,H
/hr/daily-reports,HrDailyReports,H
/hr/daily-reports/:id,HrDailyReportDetail,H
/time-off/public/:token,PublicTimeOff,
/field-leadership/portal/login,FieldLeadershipPortalLogin,
/field-leadership/portal/change-password,FieldLeadershipPortalChangePassword,FL
/field-leadership/portal/dashboard,FieldLeadershipPortalDashboard,FL
/field-leadership/portal,FieldLeadershipPortalDashboard,FL
/field-leadership/portal/driver-qualification,FieldLeadershipDriverQualification,FL
/safety-portal/login,SafetyLogin,
/safety-portal/forgot-password,SafetyForgotPassword,
/safety-portal/reset/:token,SafetyResetPassword,
/safety-portal/change-password,SafetyChangePassword,SF
/safety-portal,SafetyHub,SF
/safety-portal/fleet,FleetVisibility,SF
/safety-portal/corrective-actions,SafetyCorrectiveActions,SF
/safety-portal/fire-extinguishers,SafetyFireExtinguishers,SF
/safety-portal/fire-extinguishers/import,SafetyFireExtImport,SF
/safety-portal/documents,SafetyDocuments,SF
/safety-portal/training,SafetyTrainingRecords,SF
/safety-portal/incidents,SafetyIncidents,SF
/safety-portal/audits,SafetyAudits,SF
/safety-portal/forms-records,SafetyFormsRecords,SF
/safety-portal/reports,SafetyReports,SF
/safety-portal/library,SafetyTopicLibrary,SF
/safety-portal/employees,SafetyEmployeeProfiles,SF
/safety-portal/digest,SafetyDigest,SF
/hr/safety-records,HrSafetyRecords,H
/dispatch-portal/login,DispatchLogin,
/leadership/login,FieldLeadershipPortalLogin,
/leadership/legacy-login,LeadershipLogin,
/dispatch-portal/forgot-password,DispatchForgotPassword,
/dispatch-portal/reset/:token,DispatchResetPassword,
/dispatch-portal/change-password,DispatchChangePassword,DP
/dispatch-portal,DispatchHub,DP
/dispatch-portal/board,DispatchBoard,DP
/dispatch-portal/fleet,FleetVisibility,DP
/dispatch-portal/driver-qualification,DispatchDriverQualification,DP
/training,TrainingHub,
/training-hub,Navigate,
/training/:track,TrainingTrack,
/training/:track/poster,TrainingQrPoster,
/training/:track/packet,TrainingPacketDownload,
/admin/training-videos,AdminTrainingVideos,A
/admin/deploy-readiness,AdminDeployReadiness,A
/ops-training,Navigate,
/ops-training/:slug,Navigate,
/dev/login,DevLogin,
/dev,DevHub,D
/inspections,Navigate,
/inspect/:id,RedirectWithId,
/inspections/:id,RedirectWithId,
/meetings,Navigate,
/meetings/:id,RedirectWithId,
/incidents,Navigate,
/incidents/:id,RedirectWithId,
/daily,Navigate,
/daily/:id,RedirectWithId,
/legal/terms,TermsOfService,
/legal/privacy,PrivacyPolicy,
/tasks,Tasks,
/document-expirations,DocumentExpirations,
/hr/employees,HrEmployees,
/hr/employees/:id/accountability,HrEmployeeAccountabilityTimeline,
/hr/incidents,HrIncidents,H
/po-requests,PoRequests,
/project-health,ProjectHealth,
/asset-transfers,AssetTransfers,
/access-denied,AccessDenied,
/admin/audit,Navigate,
/admin/health,Navigate,
/d/:token,DriverMagicLanding,
/driver,DriverShift,
